ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
2019,DACITE,0.75,15.54,28,144,,3.26,11.14,24.73,4.03,3.5,3.49
2020,DACITE,0.68,15.45,33.4,161.1,,3.97,11.93,26.32,4.33,3.34,3.11
2021,DACITE,0.66,16.11,30.8,142,,3.73,11.98,25.33,4.27,3.03,3.303
2022,DACITE,0.53,14.43,43.5,96.7,,0.78,4.24,12.18,4.25,4.73,0.4
2023,DACITE,0.96,16.21,36.9,245,,14.3,33.06,74.8,,3.82,13
2024,DACITE,0.61,16.18,25.2,82.5,4,3.23,10.95,24.16,3.71,2.5,2.37
2025,DACITE,0.28,14.72,10.1,62,,1.03,3.02,6.46,1.24,1.04,0.55
2026,DACITE,0.675140194,16.58256674,34.26471347,213.5432231,5,6.131536961,14.1365036,31.35386727,,3.63738986,5.916560253
2027,DACITE,0.705006657,16.20809295,39.72924579,208.9112056,11,6.149504691,18.20791358,38.00406576,6.071140462,3.907455955,5.868098019
2028,DACITE,0.720618095,16.23982765,37.29727283,198.7292581,1,5.920549045,17.54322871,36.01644438,5.731188493,3.646929465,5.976648336
2029,DACITE,0.5,16.5,16,94,,5,11.6,23.3,2.87,1.81,2.5
2030,DACITE,0.813614256,16.23177647,44.72344642,171.4241393,,5.550151841,16.95441979,35.82916518,,4.416278458,4.19182794
2031,DACITE,0.79,14.8,15.9,131,5,6.71,21.73,39.95,3.23,1.59,12.2
2032,DACITE,0.24,16.9,18.9,120,,8.3,19.8,38.6,,1.33,7.13
2033,DACITE,0.823088544,16.32211256,45.18862792,172.3195644,,5.608548087,15.12974751,32.45007211,6.031747929,4.412966328,4.211379746
2036,DACITE,0.827,15,47,171,,3.64,,33.7,,4.77,2.67
2038,DACITE,0.59,14.03,38.4,77,,1.9,5.7,13.9,2.52,2.95,1
2039,DACITE,0.701726166,16.34680152,34.77397785,212.8023459,1,6.119703684,14.8664774,35.71619382,,3.807118395,6.023118611
2040,DACITE,0.64,15.78,29.3,134,6,3.37,11.2,23.65,4.08,2.97,2.948
2041,DACITE,0.6,14.85,29.79776325,214.8522042,9,17.63554871,43.77124178,75.88510073,5.844174829,3.2932748,17.61675998
2043,DACITE,0.63,14.73,31.03575319,220.0673275,,19.03559062,46.05049732,82.54914238,6.078584745,3.404095152,17.71938158
2044,DACITE,0.73,17.14,31.2,210,,11.4,,62.84,7,3.35,12
2045,DACITE,0.58,15.27,33.2,230,,12.3,28.81,61,6.39,3.35,12
2046,DACITE,0.713215101,15.99452766,33.17087967,214.1016843,,6.132056252,12.90961763,32.76804476,5.012539657,3.596027712,5.882895015
2047,DACITE,0.705897486,16.06972807,39.70617683,210.6952298,12,6.076579709,,37.84704994,,3.855157532,5.93768949
2048,DACITE,0.55,17.07,30.7,325,,9.2,29.2,60.5,,3.22,5.32
2049,DACITE,0.64,15.74,26.9,120,,3.04,10.38,21.9,,2.67,2.998
2050,DACITE,0.694311532,16.10032348,39.82942879,209.9649102,7,6.132995821,18.04895272,37.53718913,6.024763208,3.896168861,5.800161442
2051,ANDESITE,0.8,15.73,34,145,,7.3,21.11,44.11,4.89,3.18,7.4
2052,BASALT,0.43,16.97,15,96,,8,19.7,38.9,3.23,1.56,6.734
2054,DACITE,0.892,16.07,39.4,303,,17.2,36.19,75.61,7.99,3.87,16
2055,DACITE,0.67,15.77,29.2,137,,3.7,11.65,24.52,4.22,3.09,2.863
2056,DACITE,0.64,15.64,29.3,135,2,3.83,11.36,23.77,4.12,3,3.017
2057,DACITE,0.66,14.69,39.3,71.9,,1.8,,7,3.25,3.49,0.2
2058,DACITE,0.65,14.79,38.9,72.3,4,1.7,3.2,13.9,2.86,3.11,0.6
2059,DACITE,0.66,13.8,40.5,133,1,3.19,9.52,24.5,4.9,4.6,2.15
2060,DACITE,0.722,14.31,42.1,130,,2.95,13.9,29.4,,4.22,2.04
2061,DACITE,0.750716687,16.04553798,43.2014185,217,,6.225690438,18.39469932,39.07463728,6.550812739,4.214888797,6.012646975
2062,DACITE,0.638,15.25,47,159,1,3.48,16,33.5,,4.85,2.48
2063,DACITE,0.64,15.45,30.1,137,,3.78,11.47,24.3,4.33,3,3.03
2064,DACITE,0.41,19.05,26.9,61.3,8,0.65,3.63,10,2.78,2.61,0.24
2065,DACITE,0.67,13.23,55.6,122.2,7,0.93,4.84,14.35,4.9,5.47,0.44
2066,DACITE,0.57,14.79,29.50479957,202.0551773,,17.09862512,42.27765856,74.69792497,5.562363723,3.235627061,16.45346139
2067,DACITE,0.43,13.98,21.40378462,179.7952882,,14.10543155,35.83695143,61.79725782,3.954937921,2.511870831,16.40699763
2068,DACITE,0.65,14.72,39.1,72,11,1.7,4.7,11,2.97,3.42,0.1
2069,DACITE,0.66,15.24,38.8,165.8,8,3.14,8.53,25.49,4.59,4.03,1.66
2071,RHYOLITE,0.59,15.44,28.7,150,,3.88,,25.25,4.03,2.91,3.846
2072,DACITE,0.52,15.25,23,125,,5,,20.2,2.63,2.08,1.48
2073,BASALT,0.42,16.79,15,107,,9,,75.2,4.23,1.61,11.625
2074,DACITE,0.757420885,15.69016273,42.87216748,214,,6.205533472,18.21515753,38.80976936,6.545727024,4.225811832,5.929900151
2075,BASALT,0.5,14.99,33,65,9,0.4,3.69,10.08,3.45,4.38,0.333
