x,y,z,area,frec_fracturas,sigma_z,tiraje_prom
1294.0473,117.3616,2346,341.5137,2.278,11.418712,123.896
1324.9947,104.7765,2346,164.8006,2.974,11.409317,125.286
1141.4376,186.0983,2346,463.5349,0.915,10.80507,134.009
1175.0,165.534,2346,347.5182,1.184,11.167214,134.164
1205.0,148.2136,2346,347.5182,3.07,11.560717,130.105
1235.0,130.8931,2346,347.5182,3.07,10.667639,126.889
1262.9979,115.9049,2346,267.0715,3.07,11.139114,126.685
1294.6445,102.6665,2346,224.1113,2.902,11.093893,125.54
1124.151,175.647,2346,194.5996,0.7225,10.692772,132.638
1144.4268,164.7112,2346,402.8193,0.915,10.849301,133.636
1175.0001,148.2115,2346,347.6226,0.999,11.034975,135.505
1205.0001,130.8906,2346,347.6434,2.824,11.432449,131.416
1232.7717,116.0589,2346,259.5254,3.07,11.775205,129.683
1263.4482,100.5916,2346,295.2088,3.07,11.126177,129.414
1118.7787,159.7817,2346,177.2647,0.67,10.623645,130.217
1146.178,146.6795,2346,294.767,0.67,10.875159,134.591
1175.0,130.8889,2346,347.5222,1.02,10.966721,135.888
1205.0,113.5677,2346,347.5222,1.7374999999999998,11.248993,132.44
1234.7726,98.9986,2346,327.4237,3.07,11.562622,131.858
1116.2816,144.5712,2346,309.243,0.67,10.589036,133.073
1144.9994,130.8898,2346,347.5735,0.7575000000000001,10.800876,135.724
1174.9999,113.5685,2346,347.5111,1.02,10.959988,135.331
1203.1189,95.94,2346,326.4805,1.143,11.24057,133.064
1112.9014,128.2908,2346,400.9407,0.67,10.675068,133.948
1142.8607,115.9925,2346,261.9976,0.915,10.731359,134.734
1173.5786,93.712,2346,422.3596,1.02,10.954284,134.688
1109.5611,107.7638,2346,707.4252,0.7050000000000001,10.7365,133.615
1143.9949,100.4268,2346,309.453,1.02,10.744305,133.69
1087.1719,85.7443,2346,460.3496,0.608,10.893062,132.48
1113.6837,84.5578,2346,329.3654,0.7155,10.638149,133.557
1144.623,85.8541,2346,246.5711,1.02,10.762306,133.698
1018.6619,60.5061,2346,272.087,0.15,13.066616,127.924
