id_pilar,x,y,z,heterogeneidad_geologica,litologia_dominante,proximadad_de_fallas,condicion_de_frente,num_singularidades_geometricas,area_pilar,frec_fracturas,altura_extraible_promedio,carga_vertical_pre_mineria,carga_vertical_transicion,estado_pilar
306,975.54143544,5.357435439999989,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5182,3.07,278,10.537116,42.00331375891093,1
307,1005.54143544,-11.962964560000016,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,347.5182,3.07,282,10.766645,44.774870583624484,1
308,1035.54143544,-29.283364560000024,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,347.5182,3.07,286,10.734241,41.43396454899555,1
309,1065.54143544,-46.603864560000005,1125.0,homogenea,porfido dioritico,1,concavo,0,347.5182,0.67,294,11.343471,44.03092868766111,1
310,1096.49353544,-64.24756456,1125.0,poco heterogenea,porfido dioritico,1,concavo,1,320.9761,1.03,304,11.729744,44.99067703206717,1
311,1125.54143544,-81.24466456000002,1125.0,homogenea,complejos de rocas maficas,2,convexo,0,347.5182,3.07,310,11.454708,46.8290605288517,1
312,1153.39093544,-96.18926456000004,1125.0,homogenea,complejos de rocas maficas,2,plano,0,264.3978,3.07,310,11.498384,46.02851766770411,1
313,1184.17903544,-111.76566456000002,1125.0,homogenea,complejos de rocas maficas,2,convexo,1,308.8002,3.07,304,12.208368,50.63098272085064,1
314,945.54143544,5.357335439999986,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5182,2.9675,276,11.062359,44.06565943165249,0
315,975.54143544,-11.96306456000002,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5182,3.07,279,10.607454,42.24420006468694,1
316,1005.54143544,-29.283464560000027,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,347.5182,3.07,283,10.804725,40.78011389250979,1
317,1034.56473544,-46.26246456000001,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,1,320.3424,3.07,289,10.695924,42.90340338388319,1
318,1065.54143544,-63.92426456000001,1125.0,homogenea,porfido dioritico,1,muy concavo,0,347.5182,0.8620000000000001,298,11.508359,39.54098360437054,1
319,1095.54143544,-81.24476456000002,1125.0,heterogenea,porfido dioritico,2,plano,0,347.5182,1.27,308,11.623,46.46026281218274,1
320,1125.54143544,-98.56516456,1125.0,homogenea,complejos de rocas maficas,2,concavo,0,347.5182,3.07,314,11.544654,45.1489751525734,1
321,1155.34193544,-113.38836456,1125.0,homogenea,complejos de rocas maficas,2,plano,1,337.6002,3.07,312,11.655068,46.195292016904524,1
322,920.75463544,-7.28496456000002,1125.0,poco heterogenea,porfido dioritico,1,concavo,0,362.4596,0.915,275,10.920211,41.491038944545295,1
323,945.54143544,-11.96306456000002,1125.0,poco heterogenea,complejos de rocas maficas,1,convexo,0,347.5182,2.5574999999999997,277,11.124364,46.63335958511486,1
324,975.54143544,-29.28356456,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5182,3.07,280,10.68769,42.41505790043164,1
325,1005.54143544,-46.60396456000001,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5182,3.07,284,10.824574,43.45642347693758,1
326,1036.49353544,-64.24766456,1125.0,homogenea,complejos de rocas maficas,1,convexo,1,320.9761,3.07,291,10.601426,42.85721104551074,1
327,1065.54143544,-81.24476456000002,1125.0,poco heterogenea,porfido dioritico,1,concavo,0,347.5182,1.27,301,11.518667,42.38751474751359,1
328,1093.34533544,-96.15276456,1125.0,heterogenea,porfido dioritico,2,concavo,0,263.0667,1.75,310,11.415016,44.643967420599495,1
329,1123.71723544,-116.54556456000002,1125.0,homogenea,complejos de rocas maficas,2,concavo,1,344.1771,3.07,317,11.558713,45.18578415059087,1
330,945.54143544,-29.28356456,1125.0,poco heterogenea,porfido dioritico,1,convexo,0,347.5182,2.045,278,11.15005,45.31657998121971,1
331,974.56473544,-46.262564560000015,1125.0,homogenea,complejos de rocas maficas,1,convexo,1,320.3424,3.07,281,11.583614,48.40383499487779,1
332,1005.54143544,-63.92446456000002,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,347.5182,3.07,286,10.879264,44.03641037860945,1
333,1035.54143544,-81.24486456000002,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,347.5182,3.07,293,10.641264,43.63000769856056,1
334,1063.26453544,-95.96196456,1125.0,heterogenea,complejos de rocas maficas,1,concavo,0,254.5414,2.11,303,11.466578,44.233136584339555,1
335,1094.22163544,-111.74136456,1125.0,heterogenea,complejos de rocas maficas,2,concavo,0,308.6465,2.59,313,11.317492,41.44812150779055,1
336,915.50143544,-26.90026456000001,1125.0,heterogenea,complejos de rocas maficas,1,plano,0,360.2373,0.915,277,10.877794,43.92146943693001,1
337,945.54143544,-46.60406456000001,1125.0,poco heterogenea,complejos de rocas maficas,1,convexo,0,347.5182,1.5325,279,11.154637,45.67187743386161,1
338,976.49373544,-64.24766456,1125.0,homogenea,complejos de rocas maficas,1,plano,1,320.965,3.07,283,11.705735,46.78997318433009,0
339,1005.54143544,-81.24496456,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,347.5182,3.07,287,10.799206,44.14573829807937,1
340,1035.54143544,-98.56536456,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,347.5182,3.07,295,10.805824,44.48139919315485,1
341,1064.58873544,-112.09696456000002,1125.0,poco heterogenea,complejos de rocas maficas,2,plano,0,341.5137,2.278,305,11.418712,45.72345174026131,1
342,1095.53613544,-124.68206456,1125.0,homogenea,complejos de rocas maficas,2,concavo,0,164.8006,2.9739999999999998,314,11.409317,43.61505177796145,1
